,map,local_id,state,dist_type,tot,totDP,totVAP,totVAPDP,HVAP,HVAPDP,NHbla_alo_VAP,NHBVAP_aloDP,pNHWVAP,pNHBVAP,pHVAP,rHVAP,rNHBVAP
4,Lytle,5.0,TX,City,512.0,535.0,393.0,408.0,182.0,182.0,2.0,7.0,51.908396946564885,0.5089058524173028,46.31043256997455,0.0,1.2722646310432568
2,Karnes City ISD,2.0,TX,School District,594.0,587.0,394.0,398.0,241.0,249.0,15.0,10.0,34.77157360406091,3.807106598984772,61.16751269035533,2.030456852791878,-1.2690355329949239
3,Karnes City ISD,3.0,TX,School District,626.0,657.0,445.0,473.0,293.0,321.0,14.0,28.0,30.337078651685395,3.146067415730337,65.84269662921348,6.292134831460674,3.146067415730337
6,Karnes City ISD,6.0,TX,School District,624.0,642.0,442.0,437.0,308.0,305.0,18.0,26.0,26.018099547511316,4.072398190045249,69.68325791855203,-0.6787330316742082,1.809954751131222
0,Luling,1.0,TX,City,1087.0,1086.0,756.0,762.0,363.0,381.0,215.0,198.0,22.486772486772484,28.439153439153444,48.01587301587302,2.380952380952381,-2.2486772486772484
3,Luling,4.0,TX,City,1099.0,1128.0,797.0,798.0,387.0,390.0,27.0,36.0,47.05144291091594,3.3877038895859477,48.55708908406525,0.37641154328732745,1.1292346298619824
0,Dimmitt City,1.0,TX,City,799.0,803.0,492.0,488.0,416.0,424.0,15.0,7.0,11.788617886178862,3.048780487804878,84.5528455284553,1.6260162601626018,-1.6260162601626018
2,Dimmitt City,3.0,TX,City,781.0,809.0,532.0,557.0,411.0,433.0,16.0,26.0,16.541353383458645,3.007518796992481,77.25563909774436,4.135338345864661,1.8796992481203008
3,Dimmitt City,4.0,TX,City,783.0,786.0,536.0,536.0,463.0,453.0,4.0,13.0,12.5,0.7462686567164178,86.38059701492537,-1.8656716417910446,1.6791044776119404
4,Ralls ISD,5.0,TX,School District,461.0,475.0,349.0,353.0,117.0,119.0,12.0,2.0,62.75071633237822,3.4383954154727796,33.5243553008596,0.5730659025787965,-2.865329512893983
2,Spur,2.0,TX,City,329.0,310.0,237.0,219.0,113.0,107.0,8.0,13.0,46.835443037974684,3.375527426160337,47.67932489451477,-2.5316455696202533,2.109704641350211
3,Spur,3.0,TX,City,340.0,377.0,263.0,292.0,39.0,61.0,2.0,7.0,84.4106463878327,0.7604562737642585,14.82889733840304,8.365019011406844,1.9011406844106464
3,Daingerfield-Lone Star ISD,4.0,TX,School District,1730.0,1680.0,1349.0,1301.0,74.0,68.0,223.0,202.0,75.90808005930319,16.53076352853966,5.485544848035582,-0.4447739065974796,-1.5567086730911788
0,Reagan Hospital Dist,1.0,TX,Hospital,846.0,855.0,571.0,570.0,433.0,441.0,32.0,22.0,18.038528896672503,5.604203152364273,75.83187390542906,1.4010507880910683,-1.7513134851138354
3,Reagan Hospital Dist,4.0,TX,Hospital,805.0,818.0,568.0,568.0,318.0,310.0,3.0,9.0,42.07746478873239,0.528169014084507,55.98591549295775,-1.4084507042253522,1.056338028169014
0,Sterling ISD,1.0,TX,School District,228.0,207.0,171.0,156.0,96.0,86.0,3.0,0.0,40.35087719298245,1.7543859649122806,56.14035087719298,-5.847953216374268,-1.7543859649122806
3,Tulia City,3.0,TX,City,1088.0,1053.0,750.0,744.0,345.0,364.0,25.0,17.0,48.93333333333334,3.3333333333333335,46.0,2.533333333333333,-1.0666666666666667
4,Tulia City,4.0,TX,City,1095.0,1125.0,724.0,731.0,437.0,414.0,91.0,99.0,25.69060773480663,12.569060773480665,60.35911602209944,-3.1767955801104977,1.1049723756906076
